ID,Movido em
26,22/08/2024 15:40:36
344,22/08/2024 15:40:46
340,22/08/2024 15:40:46
474,22/08/2024 15:40:50
1868,28/08/2024 06:48:12
2662,01/09/2024 03:47:38
1842,03/09/2024 09:11:43
1860,04/09/2024 04:40:58
2862,07/09/2024 14:34:45
4770,08/09/2024 04:44:31
2122,09/09/2024 05:44:35
2120,09/09/2024 05:45:18
4834,10/09/2024 10:11:36
4832,10/09/2024 10:11:46
4830,10/09/2024 10:54:54
4764,10/09/2024 18:55:10
4872,10/09/2024 18:55:30
4920,11/09/2024 16:58:05
4910,11/09/2024 16:58:19
4530,12/09/2024 13:29:24
4420,12/09/2024 14:18:47
4618,18/09/2024 05:50:51
2820,18/09/2024 05:50:59
4860,18/09/2024 07:58:27
4836,18/09/2024 08:31:39
5320,24/09/2024 11:00:11
4806,25/09/2024 07:16:13
10052,26/09/2024 11:54:00
10308,27/09/2024 18:20:52
10428,30/09/2024 13:08:00
4710,02/10/2024 04:38:55
5244,03/10/2024 06:29:42
9872,03/10/2024 11:32:55
10572,07/10/2024 12:57:39
12538,07/10/2024 17:26:48
4766,07/10/2024 17:32:28
7614,14/10/2024 08:17:00
7616,14/10/2024 08:17:39
12712,14/10/2024 17:47:19
12730,14/10/2024 17:47:30
14808,14/10/2024 17:58:24
11172,14/10/2024 18:05:44
10782,14/10/2024 18:06:56
10722,14/10/2024 18:07:32
10416,14/10/2024 18:29:13
4730,14/10/2024 18:29:38
4728,14/10/2024 18:29:39
4726,14/10/2024 18:29:41
4724,14/10/2024 18:29:42
4722,14/10/2024 18:29:43
4718,14/10/2024 18:29:45
4716,14/10/2024 18:29:46
4708,14/10/2024 18:29:48
4706,14/10/2024 18:29:49
4704,14/10/2024 18:29:50
4702,14/10/2024 18:29:51
4700,14/10/2024 18:29:52
4698,14/10/2024 18:29:53
4696,14/10/2024 18:29:54
4694,14/10/2024 18:29:55
4692,14/10/2024 18:29:56
4690,14/10/2024 18:29:57
4688,14/10/2024 18:29:58
4492,14/10/2024 18:30:01
4464,14/10/2024 18:30:01
4462,14/10/2024 18:30:02
4460,14/10/2024 18:30:03
4458,14/10/2024 18:30:04
4456,14/10/2024 18:30:05
4452,14/10/2024 18:30:07
4450,14/10/2024 18:30:07
4448,14/10/2024 18:30:08
4444,14/10/2024 18:30:10
4442,14/10/2024 18:30:11
4438,14/10/2024 18:30:13
4436,14/10/2024 18:30:13
2224,14/10/2024 18:30:48
2222,14/10/2024 18:30:55
3968,14/10/2024 18:33:59
10260,15/10/2024 16:32:59
17554,16/10/2024 12:45:53
3870,16/10/2024 12:46:08
3672,16/10/2024 13:24:24
6834,16/10/2024 13:39:12
3974,16/10/2024 15:08:37
17580,16/10/2024 17:10:29
3174,16/10/2024 18:08:49
5840,16/10/2024 18:10:39
5462,17/10/2024 12:09:54
5860,17/10/2024 12:10:27
17230,17/10/2024 12:14:01
17232,17/10/2024 12:29:07
3838,17/10/2024 12:46:10
3790,17/10/2024 12:49:06
3754,17/10/2024 12:49:22
4746,17/10/2024 12:55:53
10154,17/10/2024 13:03:13
15392,17/10/2024 13:10:29
11336,17/10/2024 13:11:53
3632,17/10/2024 13:13:32
3186,17/10/2024 13:16:03
3264,17/10/2024 13:17:08
10314,17/10/2024 13:17:36
7314,17/10/2024 13:20:47
10338,17/10/2024 13:45:08
13706,17/10/2024 13:58:18
3936,18/10/2024 06:19:54
3270,18/10/2024 08:40:50
3196,18/10/2024 08:41:13
3578,18/10/2024 08:41:27
5238,18/10/2024 08:48:59
3964,18/10/2024 18:01:22
16594,20/10/2024 06:12:01
15612,20/10/2024 06:21:55
19214,21/10/2024 13:29:41
4478,22/10/2024 08:00:51
4484,22/10/2024 08:01:00
4772,22/10/2024 08:09:09
5196,22/10/2024 08:13:20
5602,22/10/2024 09:03:16
10172,22/10/2024 09:06:25
10190,22/10/2024 09:06:48
10266,22/10/2024 09:07:27
10554,22/10/2024 12:45:56
6858,22/10/2024 14:21:15
3208,22/10/2024 14:23:10
3738,22/10/2024 14:24:38
10656,22/10/2024 14:27:25
4796,22/10/2024 14:28:15
4816,22/10/2024 14:28:23
972,29/10/2024 08:46:06
850,30/10/2024 11:35:07
5232,31/10/2024 07:34:21
4552,04/11/2024 05:54:09
10320,04/11/2024 05:54:24
3706,04/11/2024 05:54:34
3924,04/11/2024 05:54:44
3178,04/11/2024 05:54:45
10296,04/11/2024 05:54:47
3168,04/11/2024 05:54:54
3214,04/11/2024 05:55:01
458,04/11/2024 05:55:02
44,04/11/2024 05:55:03
52,04/11/2024 05:55:11
54,04/11/2024 05:55:27
262,04/11/2024 05:55:41
10358,04/11/2024 05:55:58
266,04/11/2024 05:56:01
12742,04/11/2024 05:57:13
278,04/11/2024 05:57:14
284,04/11/2024 05:57:22
290,04/11/2024 05:57:29
2228,04/11/2024 05:57:57
322,04/11/2024 05:58:09
324,04/11/2024 05:58:17
3362,04/11/2024 05:58:57
330,04/11/2024 05:59:10
10184,04/11/2024 05:59:17
8834,04/11/2024 05:59:57
334,04/11/2024 06:00:02
390,04/11/2024 06:00:47
392,04/11/2024 06:02:45
4518,04/11/2024 06:03:13
462,04/11/2024 06:03:14
852,04/11/2024 06:03:21
854,04/11/2024 06:03:39
984,04/11/2024 06:03:42
986,04/11/2024 06:03:43
1018,04/11/2024 06:04:39
4738,04/11/2024 06:04:47
4440,04/11/2024 06:18:33
1020,04/11/2024 06:20:51
3550,04/11/2024 06:26:19
1506,04/11/2024 06:27:00
1508,04/11/2024 06:27:01
1514,04/11/2024 06:27:18
1512,04/11/2024 06:27:20
1592,04/11/2024 06:27:28
1590,04/11/2024 06:27:29
1608,04/11/2024 06:27:36
1614,04/11/2024 06:27:50
1616,04/11/2024 06:27:51
6844,04/11/2024 06:27:52
1686,04/11/2024 06:28:03
1702,04/11/2024 06:28:09
7210,04/11/2024 06:28:20
4026,04/11/2024 06:28:21
1772,04/11/2024 06:28:28
1870,04/11/2024 06:28:50
2072,04/11/2024 06:28:57
3626,04/11/2024 06:29:26
5190,04/11/2024 06:29:33
5246,04/11/2024 06:29:59
4858,04/11/2024 06:30:43
1816,04/11/2024 06:30:58
2956,04/11/2024 06:31:26
2954,04/11/2024 06:31:27
38,04/11/2024 06:31:38
3640,04/11/2024 06:35:38
3556,04/11/2024 06:35:39
3712,04/11/2024 06:35:40
10332,04/11/2024 06:35:42
7422,04/11/2024 06:35:45
10224,04/11/2024 06:35:47
3510,04/11/2024 06:35:48
5498,04/11/2024 06:35:49
4004,04/11/2024 06:35:50
4062,04/11/2024 06:35:53
10118,04/11/2024 06:35:54
10210,04/11/2024 06:35:55
10536,04/11/2024 06:35:56
15390,04/11/2024 06:35:57
3634,04/11/2024 06:35:58
3452,04/11/2024 06:35:59
15630,04/11/2024 06:36:00
15808,04/11/2024 06:36:01
15604,04/11/2024 06:36:01
10368,04/11/2024 06:36:03
10464,04/11/2024 06:36:04
10704,04/11/2024 06:36:08
10662,04/11/2024 06:36:09
10644,04/11/2024 06:36:11
10578,04/11/2024 06:36:12
10242,04/11/2024 06:36:14
5326,04/11/2024 06:36:16
4824,04/11/2024 06:36:19
4822,04/11/2024 06:36:19
4784,04/11/2024 06:36:20
4778,04/11/2024 06:36:21
4494,04/11/2024 06:36:30
4500,04/11/2024 06:36:31
